               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.049509,            0.015024,                   0,             0.81965,             0.86194,             0.91315,             0.40872,            0.044008,            0.014144,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050309,             0.01486,                   0,             0.75335,              0.7931,             0.87873,             0.44414,            0.043286,            0.014172,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.047622,            0.015392,                   0,             0.95189,             0.68966,             0.83949,              0.3965,            0.044773,             0.01365,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.046768,            0.014185,                   0,             0.93031,              0.7069,             0.86077,             0.42104,            0.042139,            0.015638,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.047826,            0.014144,                   0,              0.8622,             0.75862,              0.8634,             0.34836,            0.042817,            0.012915,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.048732,            0.013987,                   0,             0.76865,             0.86207,             0.83809,             0.37919,            0.043523,            0.013741,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.045527,            0.013831,                   0,             0.91303,             0.72405,             0.88727,             0.45596,             0.04307,            0.012841,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.047496,            0.013681,                   0,             0.89569,             0.74138,             0.86056,             0.40227,              0.0442,            0.013815,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.046288,            0.013735,                   0,             0.93451,             0.74138,             0.88582,             0.44723,            0.042634,            0.013144,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.047212,            0.013951,                   0,             0.90903,             0.68919,             0.81589,             0.37195,            0.045521,            0.013789,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04722,            0.012676,                   0,             0.95417,             0.72414,             0.87948,             0.39119,            0.048039,            0.014895,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.044521,            0.013363,                   0,             0.85418,             0.81034,             0.89737,             0.41894,             0.03868,            0.011946,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.044626,             0.01352,                   0,             0.82451,             0.81006,             0.87413,             0.47015,            0.036721,            0.012319,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.044066,            0.013631,                   0,             0.84587,             0.75862,             0.82934,             0.39078,            0.042394,            0.013028,                   0,            0.004852,            0.004852,            0.004852
